FS_Hz,Train_Acc,Test_Acc,ROC_AUC
360,0.9986864472260856,0.9983775013520823,0.9998980799245792
250,0.9989182506567764,0.9985577789796286,0.9999205699412218
200,0.9989955184670066,0.9987380566071751,0.999656279745647
125,0.9987637150363159,0.9985577789796286,0.9998871599164983
